Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP
33.0,1,10.0,4,4.0,5.0,3.0,0,1,1,1.0,25403.0,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
33.0,1,7.0,4,4.0,5.0,3.0,0,1,0,2.0,21634.0,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False
50.0,1,25.0,4,4.0,3.0,3.0,1,1,0,1.0,25482.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
42.0,1,6.0,2,4.0,3.0,1.0,1,3,0,0.0,21062.0,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
43.0,1,33.0,3,4.0,5.0,5.0,1,3,0,1.0,31869.0,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
36.0,1,15.0,3,1.0,4.0,2.0,0,5,1,0.0,17810.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
27.0,3,8.0,2,1.0,3.0,1.0,0,1,0,1.0,21500.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
29.0,3,16.0,4,4.0,3.0,3.0,0,3,1,2.0,23931.0,True,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
34.0,1,12.0,4,5.0,3.0,3.0,0,2,0,3.0,21589.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
41.0,3,21.0,3,4.0,5.0,3.0,0,3,0,2.0,23317.0,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
32.0,3,20.0,4,5.0,5.0,7.0,1,1,1,1.0,20980.0,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
50.0,2,9.0,3,3.0,4.0,2.0,0,1,1,2.0,33200.0,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True
24.0,3,30.0,2,3.0,3.0,1.0,0,4,1,1.0,17400.0,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False
43.0,1,7.0,3,5.0,3.0,2.0,1,3,0,1.0,24740.0,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
39.0,1,16.0,3,3.0,5.0,3.0,0,5,1,2.0,20377.0,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
55.0,1,6.0,2,3.0,5.0,1.0,1,1,1,1.0,34045.0,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True
33.0,1,10.0,3,4.0,3.0,3.0,0,4,1,1.0,24887.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
34.0,3,23.0,4,4.0,5.0,4.0,1,5,0,1.0,27242.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
25.0,1,25.0,3,4.0,3.0,2.0,0,4,0,1.0,21452.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
30.0,1,24.0,3,3.0,3.0,2.0,0,1,1,2.0,17632.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
32.0,3,12.0,3,4.0,4.0,3.0,0,3,0,1.0,21467.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
34.0,1,12.0,4,4.0,4.0,8.0,0,3,1,3.0,30556.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
50.0,1,30.0,3,3.0,3.0,4.0,1,4,1,2.0,28973.0,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False
33.0,1,6.0,3,4.0,5.0,4.0,1,4,0,0.0,17799.0,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
36.0,3,18.0,3,4.0,3.0,3.0,0,5,0,1.0,23646.0,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
50.0,1,25.0,4,4.0,3.0,3.0,1,2,0,2.0,25482.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
49.0,3,14.0,4,4.0,3.0,4.0,1,4,1,2.0,21333.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
37.0,3,14.0,3,2.0,5.0,4.0,0,1,1,1.0,23317.0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
30.0,1,24.0,3,3.0,3.0,2.0,0,2,1,0.0,17632.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
23.0,1,7.0,4,4.0,3.0,2.0,0,3,0,3.0,22053.0,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False
34.0,1,33.0,3,3.0,4.0,3.0,0,3,0,0.0,17311.0,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
52.0,3,28.0,4,4.0,3.0,2.0,1,5,0,3.0,24119.0,True,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False
27.0,3,36.0,4,6.0,5.0,2.0,0,3,0,1.0,23647.0,False,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False
40.0,3,30.0,3,1.0,4.0,5.0,1,3,1,2.0,28194.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
44.0,1,8.0,3,1.0,3.0,2.0,0,4,1,0.0,17011.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
27.0,1,9.0,3,4.0,5.0,8.0,1,5,0,1.0,20720.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
42.0,1,12.0,4,5.0,5.0,8.0,0,3,1,1.0,20785.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
28.0,3,9.0,3,4.0,5.0,2.0,0,5,0,2.0,21719.0,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False
59.0,1,12.0,3,5.0,4.0,4.0,1,5,1,2.0,29230.0,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
40.0,3,28.0,3,5.0,3.0,5.0,1,1,0,2.0,24798.0,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False
29.0,2,7.0,3,4.0,3.0,3.0,0,4,0,2.0,21384.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
35.0,1,15.0,3,4.0,5.0,5.0,0,5,1,1.0,23799.0,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
34.0,2,15.0,2,3.0,3.0,2.0,0,1,1,0.0,17742.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
36.0,1,10.0,2,4.0,3.0,2.0,0,5,1,1.0,20810.0,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False
41.0,1,16.0,3,4.0,5.0,5.0,0,2,1,0.0,32181.0,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False
46.0,1,6.0,2,4.0,5.0,3.0,1,1,1,1.0,25673.0,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
27.0,3,36.0,3,4.0,3.0,7.0,0,5,1,1.0,22984.0,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
32.0,3,27.0,4,2.0,3.0,2.0,0,5,1,1.0,21469.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
38.0,1,26.0,4,4.0,4.0,6.0,0,4,0,2.0,21700.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
34.0,3,29.0,4,4.0,4.0,2.0,0,1,0,1.0,24824.0,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
51.0,2,11.0,2,3.0,4.0,2.0,1,3,1,1.0,29026.0,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False
40.0,1,8.0,2,4.0,3.0,1.0,1,3,1,1.0,17342.0,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
49.0,1,13.0,2,4.0,3.0,1.0,0,1,1,0.0,25965.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
48.0,1,16.0,4,4.0,3.0,6.0,0,3,1,1.0,20783.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
29.0,3,26.0,2,3.0,3.0,3.0,0,1,1,0.0,21931.0,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
25.0,3,31.0,3,4.0,3.0,2.0,0,4,1,2.0,21078.0,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False
35.0,3,23.0,3,3.0,5.0,4.0,1,3,0,2.0,23966.0,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
30.0,3,17.0,3,5.0,4.0,3.0,1,5,1,1.0,26946.0,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
35.0,1,29.0,2,4.0,3.0,4.0,1,4,1,0.0,20916.0,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
36.0,1,8.0,3,3.0,3.0,5.0,0,5,1,0.0,17543.0,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
50.0,3,5.0,2,3.0,3.0,5.0,1,5,0,1.0,34331.0,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True
44.0,3,32.0,4,5.0,3.0,7.0,0,4,1,2.0,29476.0,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
38.0,3,8.0,2,3.0,4.0,1.0,0,4,1,0.0,22351.0,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False
37.0,1,14.0,4,4.0,4.0,4.0,0,1,0,3.0,20691.0,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
32.0,2,9.0,4,5.0,5.0,5.0,0,3,0,2.0,25088.0,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False
42.0,3,17.0,3,4.0,3.0,2.0,0,2,0,2.0,24908.0,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
50.0,1,34.0,3,2.0,3.0,2.0,1,2,1,2.0,18221.0,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
25.0,1,14.0,3,4.0,3.0,3.0,1,4,0,1.0,21564.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
19.0,1,15.0,2,3.0,5.0,2.0,0,3,0,0.0,17552.0,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
41.0,3,17.0,4,5.0,4.0,4.0,0,4,0,1.0,28383.0,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
47.0,1,25.0,3,4.0,3.0,7.0,0,3,1,1.0,29205.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
32.0,3,27.0,3,4.0,3.0,3.0,0,2,1,1.0,25610.0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
44.0,3,34.0,2,1.0,3.0,4.0,1,2,1,1.0,28320.0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
51.0,3,15.0,3,4.0,4.0,2.0,0,2,1,1.0,22553.0,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
37.0,1,7.0,2,4.0,3.0,2.0,0,1,0,0.0,21474.0,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
36.0,1,7.0,4,5.0,5.0,3.0,0,1,0,3.0,21128.0,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
30.0,1,15.0,4,6.0,5.0,3.0,1,3,1,2.0,20797.0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
43.0,3,21.0,4,5.0,3.0,2.0,0,3,1,1.0,24922.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
28.0,3,9.0,4,4.0,3.0,3.0,1,4,0,2.0,23156.0,True,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
33.0,1,9.0,3,5.0,5.0,6.0,0,4,0,2.0,20854.0,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False
35.0,1,28.0,3,2.0,4.0,1.0,0,5,1,1.0,26996.0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
43.0,3,32.0,3,3.0,3.0,2.0,1,1,1,0.0,31959.0,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False
26.0,1,11.0,3,4.0,3.0,3.0,1,3,1,1.0,22369.0,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
30.0,1,9.0,3,5.0,5.0,2.0,0,4,1,2.0,22017.0,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False
29.0,3,20.0,3,4.0,3.0,5.0,1,5,1,2.0,28532.0,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
37.0,3,7.0,3,4.0,3.0,6.0,0,2,1,2.0,25331.0,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
47.0,1,7.0,3,5.0,5.0,4.0,1,1,1,2.0,29351.0,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
52.0,1,10.0,4,4.0,4.0,5.0,0,5,0,2.0,32412.0,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
34.0,1,9.0,3,4.0,3.0,2.0,0,3,1,1.0,21178.0,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
33.0,3,16.0,3,6.0,3.0,2.0,0,1,0,2.0,23346.0,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
52.0,3,17.0,4,4.0,4.0,7.0,0,1,1,3.0,31820.0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
35.0,1,6.0,3,3.0,5.0,5.0,0,2,0,1.0,17194.0,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
26.0,1,29.0,2,3.0,3.0,2.0,0,3,0,0.0,17886.0,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
53.0,1,15.0,3,5.0,4.0,4.0,0,2,1,2.0,23619.0,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False
47.0,1,25.0,3,4.0,3.0,7.0,0,3,0,2.0,29205.0,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
28.0,1,18.0,4,4.0,5.0,2.0,0,5,1,3.0,20777.0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
33.0,3,16.0,2,3.0,3.0,2.0,0,1,0,0.0,20487.0,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False
31.0,3,26.0,2,3.0,3.0,2.0,0,1,1,1.0,21932.0,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
39.0,1,16.0,4,4.0,5.0,6.0,0,3,0,3.0,25571.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
47.0,3,7.0,4,4.0,5.0,3.0,0,2,1,2.0,29131.0,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
34.0,1,6.0,2,3.0,3.0,2.0,0,3,1,1.0,17691.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
28.0,1,18.0,3,3.0,3.0,2.0,1,4,1,0.0,17515.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
33.0,1,7.0,4,4.0,4.0,3.0,0,3,0,1.0,24898.0,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False
39.0,3,14.0,3,3.0,5.0,3.0,1,3,0,1.0,24283.0,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
31.0,1,6.0,3,1.0,4.0,2.0,0,3,1,2.0,22446.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
30.0,1,16.0,2,5.0,3.0,2.0,0,2,1,1.0,22661.0,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False
45.0,1,13.0,3,3.0,5.0,2.0,0,2,1,2.0,20210.0,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
32.0,1,7.0,4,5.0,5.0,3.0,0,4,0,1.0,20896.0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
42.0,1,8.0,2,4.0,5.0,1.0,1,4,1,1.0,17593.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
52.0,1,11.0,3,4.0,3.0,2.0,1,1,0,1.0,21139.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
34.0,1,6.0,3,1.0,3.0,3.0,0,1,1,1.0,18280.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
35.0,1,12.0,3,5.0,5.0,4.0,0,2,0,1.0,30309.0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
52.0,1,12.0,3,3.0,5.0,4.0,1,4,1,2.0,20577.0,True,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False
45.0,1,9.0,3,4.0,3.0,7.0,1,1,0,2.0,28887.0,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False
28.0,1,10.0,4,5.0,3.0,3.0,1,1,0,3.0,21244.0,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False
42.0,1,25.0,2,2.0,3.0,7.0,1,3,1,1.0,17759.0,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False
59.0,1,9.0,3,5.0,3.0,2.0,1,1,1,1.0,21058.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
37.0,1,13.0,3,4.0,3.0,2.0,0,5,1,2.0,21888.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
47.0,1,15.0,4,5.0,5.0,2.0,1,1,1,3.0,23293.0,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
59.0,1,20.0,2,3.0,3.0,1.0,1,5,1,0.0,25512.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
44.0,3,11.0,3,5.0,3.0,5.0,0,3,1,1.0,28909.0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
21.0,1,16.0,2,4.0,3.0,2.0,0,4,1,0.0,17625.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
20.0,3,8.0,2,4.0,3.0,2.0,0,4,1,0.0,17044.0,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
49.0,1,6.0,2,3.0,3.0,5.0,0,3,1,0.0,30379.0,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
33.0,1,15.0,2,3.0,3.0,1.0,0,2,1,0.0,17781.0,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
30.0,3,7.0,3,5.0,3.0,8.0,1,1,1,2.0,21478.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
57.0,1,15.0,4,4.0,5.0,6.0,1,4,1,2.0,22935.0,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
36.0,1,7.0,3,2.0,3.0,5.0,0,3,0,1.0,21184.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
41.0,1,23.0,3,5.0,3.0,8.0,0,5,0,1.0,23772.0,False,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False
32.0,3,8.0,3,3.0,5.0,2.0,0,3,1,0.0,17827.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
55.0,1,26.0,2,3.0,3.0,4.0,1,1,0,0.0,20415.0,True,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False
46.0,1,7.0,4,4.0,3.0,5.0,0,5,0,2.0,20948.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
33.0,1,9.0,2,3.0,3.0,2.0,1,5,1,1.0,17909.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
22.0,1,17.0,3,5.0,5.0,3.0,0,3,0,2.0,20094.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
33.0,3,8.0,3,3.0,3.0,2.0,0,3,1,1.0,20505.0,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
46.0,3,8.0,3,5.0,4.0,4.0,1,5,1,0.0,31872.0,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
47.0,3,9.0,4,6.0,4.0,5.0,1,5,1,1.0,35550.0,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
31.0,3,6.0,2,3.0,4.0,2.0,1,5,1,1.0,17302.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
38.0,1,35.0,2,3.0,3.0,4.0,0,1,0,0.0,21261.0,True,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False
26.0,3,16.0,4,5.0,5.0,5.0,0,1,1,1.0,23078.0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
59.0,1,9.0,2,1.0,5.0,5.0,1,1,0,1.0,17670.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
32.0,1,12.0,3,4.0,3.0,2.0,1,4,0,2.0,23499.0,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
37.0,3,16.0,3,5.0,5.0,2.0,0,2,0,1.0,22085.0,True,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
46.0,3,8.0,3,5.0,4.0,4.0,1,5,1,2.0,31872.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
35.0,1,10.0,3,4.0,3.0,2.0,0,1,1,1.0,26434.0,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
36.0,3,17.0,3,5.0,5.0,2.0,0,5,1,2.0,28984.0,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
35.0,1,31.0,2,3.0,3.0,2.0,1,3,1,1.0,25388.0,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
34.0,1,13.0,2,3.0,4.0,1.0,0,5,0,0.0,26994.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
27.0,1,23.0,3,4.0,4.0,4.0,1,1,1,1.0,21051.0,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False
41.0,1,25.0,2,3.0,5.0,3.0,0,1,0,0.0,18072.0,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
54.0,2,25.0,2,3.0,4.0,3.0,0,3,1,1.0,25725.0,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
49.0,1,13.0,2,3.0,4.0,4.0,0,4,0,1.0,25466.0,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
37.0,1,15.0,3,4.0,3.0,3.0,0,4,1,2.0,28774.0,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
53.0,3,12.0,2,3.0,3.0,3.0,1,5,0,1.0,17306.0,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
32.0,1,6.0,2,3.0,3.0,2.0,1,4,1,0.0,21162.0,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False
42.0,1,14.0,3,3.0,3.0,2.0,0,5,1,1.0,33430.0,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True
36.0,1,11.0,3,5.0,3.0,3.0,0,2,1,1.0,21054.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
50.0,1,14.0,3,5.0,3.0,2.0,0,1,1,1.0,29643.0,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
41.0,2,6.0,2,4.0,3.0,2.0,0,1,1,1.0,34189.0,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True
36.0,3,7.0,4,4.0,4.0,3.0,0,4,0,1.0,25973.0,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False
48.0,1,11.0,4,5.0,4.0,2.0,1,4,1,3.0,29011.0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
31.0,1,14.0,3,4.0,3.0,3.0,0,5,1,2.0,22169.0,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
29.0,1,16.0,3,3.0,4.0,1.0,0,5,1,0.0,18291.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
47.0,3,33.0,3,1.0,3.0,5.0,1,4,0,1.0,21397.0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
30.0,1,22.0,3,4.0,3.0,3.0,0,3,1,2.0,21018.0,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
46.0,1,15.0,4,4.0,3.0,2.0,0,3,1,1.0,22375.0,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
38.0,1,32.0,3,5.0,3.0,2.0,0,3,1,1.0,24409.0,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
46.0,3,13.0,3,5.0,3.0,8.0,0,4,1,1.0,27543.0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
28.0,1,6.0,3,5.0,4.0,1.0,1,2,1,0.0,17216.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
